scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
141170, UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Flexi Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141171, UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Quarterly Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141173, UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Growth Option,Very High,Others,Others,UTI FTIF Series XXVI
141174, UTI FTIF Series XXVI-IX (1113 Days)- Regular Plan - Maturity Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141175, UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Annual Div Option,Low,Others,Others,UTI FTIF Series XXVI
141176, UTI FTIF Series XXVI-IX (1113 Days)- Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141177, Nippon India Fixed Horizon Fund XXXIII- Series 9- Growth Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141178, Nippon India Fixed Horizon Fund XXXIII- Series 9- Dividend Payout Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141179, Nippon India Fixed Horizon Fund XXXIII- Series 9- Direct Plan - Growth Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141180, Nippon India Fixed Horizon Fund XXXIII- Series 9- Direct Plan - Dividend Payout Option,Very High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141181, ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Dividend Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141182, ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Direct Plan - Cumulative Option,Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141183, ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Cumulative Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141184, ICICI Prudential Fixed Maturity Plan - Series 81 - 1205 Days Plan B - Direct Plan - Dividend Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141185, Nippon India Fixed Horizon Fund XXXIII- Series 10- Growth Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141186, Nippon India Fixed Horizon Fund XXXIII- Series 10- Dividend Payout Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141187, Nippon India Fixed Horizon Fund XXXIII- Series 10- Direct Plan - Growth Option,Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141188, Nippon India Fixed Horizon Fund XXXIII- Series 10- Direct Plan - Dividend Payout Option,Low to Moderate,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141189, ICICI Prudential Fixed Maturity Plan - Series 81 - 1211 Days Plan A - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141190, ICICI Prudential Fixed Maturity Plan - Series 81 - 1211 Days Plan A - Dividend Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141191, ICICI Prudential Fixed Maturity Plan - Series 81 - 1211 Days Plan A - Direct Plan - Dividend Option,Low,Others,Others,ICICI Prudential Fixed Maturity Plan
141192, ICICI Prudential Fixed Maturity Plan - Series 81 - 1211 Days Plan A - Direct Plan - Cumulative Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141193, UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Growth Option,Moderate,Others,Others,UTI FTIF Series XXVI
141194, UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Maturity Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141195, UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Growth Option,Moderate,Others,Others,UTI FTIF Series XXVI
141196, UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Annual Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141197, UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Maturity Div Option,Very High,Others,Others,UTI FTIF Series XXVI
141198, UTI FTIF Series XXVI-X (1107 Days)- Regular Plan - Quarterly Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141199, UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Quarterly Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141200, UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Flexi Div Option,Very High,Others,Others,UTI FTIF Series XXVI
141201, UTI FTIF Series XXVI-X (1107 Days)- Direct Plan - Annual Div Option,Very High,Others,Others,UTI FTIF Series XXVI
141204, HSBC Fixed Term Series 128 - Direct Plan Growth Option,Very High,Others,Others,HSBC Fixed Term Series 128
141205, HSBC FTS 128 - IDCW - Tenure 1106 Days - Maturity,Low to Moderate,Others,Others,HSBC FTS 128
141206, HSBC Fixed Term Series 128 - Growth Option,Low to Moderate,Others,Others,HSBC Fixed Term Series 128
141207, BNP PARIBAS ARBITRAGE FUND REGULAR PLAN MONTHLY Income Distribution cum Capital Withdrawal Option,Low to Moderate,Hybrid Scheme,Arbitrage,BNP PARIBAS ARBITRAGE FUND REGULAR PLAN MONTHLY Income Distribution cum Capital Withdrawal Option
141208, BNP PARIBAS ARBITRAGE FUND DIRECT PLAN MONTHLY Income Distribution cum Capital Withdrawal Option,Moderately High,Hybrid Scheme,Arbitrage,BNP PARIBAS ARBITRAGE FUND DIRECT PLAN MONTHLY Income Distribution cum Capital Withdrawal Option
141209, BNP PARIBAS ARBITRAGE FUND DIRECT PLAN QUARTERLY Income Distribution cum Capital Withdrawal Option,Moderate,Hybrid Scheme,Arbitrage,BNP PARIBAS ARBITRAGE FUND DIRECT PLAN QUARTERLY Income Distribution cum Capital Withdrawal Option
141210, BNP PARIBAS ARBITRAGE FUND REGULAR PLAN QUARTERLY Income Distribution cum Capital Withdrawal Option,Moderately High,Hybrid Scheme,Arbitrage,BNP PARIBAS ARBITRAGE FUND REGULAR PLAN QUARTERLY Income Distribution cum Capital Withdrawal Option
141217, HDFC FMP 1172D APRIL 2017 (1)  - Regular Dividend Option,Very High,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141218, HDFC FMP 1172D APRIL 2017 (1)  - Direct Dividend Option,Very High,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141219, HDFC FMP 1172D APRIL 2017 (1)  - Direct Growth Option,Moderate,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141220, HDFC FMP 1172D APRIL 2017 (1)  - Direct Quaterly Dividend Option,Moderately High,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141221, HDFC FMP 1172D APRIL 2017 (1)  - Regular Quaterly Dividend Option,Moderately High,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141222, HDFC FMP 1172D APRIL 2017 (1)  - Regular Growth Option,Low to Moderate,Others,Others,HDFC FMP 1172D APRIL 2017 (1)
141223, Mahindra Manulife Multi Cap Badhat Yojana - Direct Plan - IDCW,Moderately High,Equity Scheme,Multi Cap,Mahindra Manulife Multi Cap Badhat Yojana
141224, Mahindra Manulife Multi Cap Badhat Yojana - Regular Plan - Growth,Low to Moderate,Equity Scheme,Multi Cap,Mahindra Manulife Multi Cap Badhat Yojana
141225, Mahindra Manulife Multi Cap Badhat Yojana - Regular Plan - IDCW,Very High,Equity Scheme,Multi Cap,Mahindra Manulife Multi Cap Badhat Yojana
141226, Mahindra Manulife Multi Cap Badhat Yojana - Direct Plan -Growth,Moderate,Equity Scheme,Multi Cap,Mahindra Manulife Multi Cap Badhat Yojana
141227, HDFC FMP 1165D April 2017 (1) - Direct Option -  Dividend Option,Moderate,Others,Others,HDFC FMP 1165D April 2017 (1)
141228, HDFC FMP 1165D April 2017 (1) - Regular Option -  Quarterly Dividend Option,Moderate,Others,Others,HDFC FMP 1165D April 2017 (1)
141229, HDFC FMP 1165D April 2017 (1) - Direct Option -  Growth Option,Low to Moderate,Others,Others,HDFC FMP 1165D April 2017 (1)
141230, HDFC FMP 1165D April 2017 (1) - Direct Option -  Quarterly Dividend Option,Very High,Others,Others,HDFC FMP 1165D April 2017 (1)
141231, HDFC FMP 1165D April 2017 (1) - Regular Option -  Dividend Option,Moderate,Others,Others,HDFC FMP 1165D April 2017 (1)
141232, HDFC FMP 1165D April 2017 (1) - Regular Option -  Growth Option,High,Others,Others,HDFC FMP 1165D April 2017 (1)
141233, UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Flexi Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141234, UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Annual Div Option,Moderate,Others,Others,UTI FTIF Series XXVI
141235, UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Flexi Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141236, UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Growth Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141237, UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Quarterly Div  Option,High,Others,Others,UTI FTIF Series XXVI
141238, UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Maturity Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141239, UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Maturity Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141240, UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Growth Option,Very High,Others,Others,UTI FTIF Series XXVI
141241, UTI FTIF Series XXVI-XI (1105 Days)- Regular Plan - Quarterly Div Option,Low to Moderate,Others,Others,UTI FTIF Series XXVI
141242, UTI FTIF Series XXVI-XI (1105 Days)- Direct Plan - Annual Div Option,Moderately High,Others,Others,UTI FTIF Series XXVI
141243, UTI Capital Protection Oriented Scheme - Series IX-I (1467 Days) - Regular Plan - IDCW,Low,Others,Others,UTI Capital Protection Oriented Scheme
141244, UTI Capital Protection Oriented Scheme Series IX-I (1467 Days) - Direct Plan - Growth Option,Moderate,Others,Others,UTI Capital Protection Oriented Scheme Series IX
141245, UTI Capital Protection Oriented Scheme - Series IX-I (1467 Days) - Direct Plan - IDCW,Very High,Others,Others,UTI Capital Protection Oriented Scheme
141246, UTI Capital Protection Oriented Scheme Series IX-I (1467 Days) - Regular Plan - Growth Option,Very High,Others,Others,UTI Capital Protection Oriented Scheme Series IX
141247, Union Largecap Fund - Regular Plan - Growth Option,Low to Moderate,Equity Scheme,Large Cap,Union Largecap Fund
141248, Union Largecap Fund - Direct Plan - Growth Option,Moderate,Equity Scheme,Large Cap,Union Largecap Fund
141249, Union Largecap Fund - Direct Plan - IDCW Option,Low to Moderate,Equity Scheme,Large Cap,Union Largecap Fund
141250, Union Largecap Fund - Regular Plan - IDCW Option,Moderate,Equity Scheme,Large Cap,Union Largecap Fund
141261, ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Dividend Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141262, ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Cumulative Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141263, ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Direct Plan - Dividend Option,Moderately High,Others,Others,ICICI Prudential Fixed Maturity Plan
141264, ICICI Prudential Fixed Maturity Plan - Series 81 - 1101 Days Plan C - Cumulative Option,High,Others,Others,ICICI Prudential Fixed Maturity Plan
141269, ICICI Prudential Fixed Maturity Plan - Series 81 - 1195 Days Plan D - Cumulative Option,Low to Moderate,Others,Others,ICICI Prudential Fixed Maturity Plan
141271, ICICI Prudential Fixed Maturity Plan - Series 81 - 1195 Days Plan D - Dividend Option,Very High,Others,Others,ICICI Prudential Fixed Maturity Plan
141272, ICICI Prudential Fixed Maturity Plan - Series 81 - 1195 Days Plan D - Direct Plan - Cumulative Option,Low,Others,Others,ICICI Prudential Fixed Maturity Plan
141281, Kotak FMP Series 203-Direct Plan-Dividend Payout Option,Low to Moderate,Others,Others,Kotak FMP Series 203
141282, Kotak FMP Series 203 - Regular Plan - Dividend Payout Option,High,Others,Others,Kotak FMP Series 203
141283, Kotak FMP Series 203 - Direct Plan - Growth Option,Very High,Others,Others,Kotak FMP Series 203
141284, Kotak FMP Series 203-Regular Plan-Growth option,Moderately High,Others,Others,Kotak FMP Series 203
141285, ICICI Prudential Value Fund - Series 13 - Dividend Option,High,Others,Others,ICICI Prudential Value Fund
141286, ICICI Prudential Value Fund - Series 13 - Direct Plan - Dividend Option,Low to Moderate,Others,Others,ICICI Prudential Value Fund
